Beverage,Calories,Total Fat,Carbohydrates ,Cholesterol ,Sugar,Protein ,Vitamin A  ,Calcium  ,Iron ,Caffeine 
Brewed Coffee,3,0.1,5,0,0,0.3,0%,0%,0%,175
Brewed Coffee,4,0.1,10,0,0,0.5,0%,0%,0%,260
Brewed Coffee,5,0.1,10,0,0,1,0%,0%,0%,330
Brewed Coffee,5,0.1,10,0,0,1,0%,2%,0%,410
Vanilla Latte (Or Other Flavoured Latte),100,0.1,70,19,18,6,0%,20%,0%,75
Vanilla Latte (Or Other Flavoured Latte),130,3.5,80,18,17,6,0%,20%,0%,75
Vanilla Latte (Or Other Flavoured Latte),110,2.5,60,16,13,5,6%,20%,8%,75
Vanilla Latte (Or Other Flavoured Latte),150,0.2,110,28,27,9,15%,30%,0%,75
Vanilla Latte (Or Other Flavoured Latte),200,5,125,28,27,9,15%,30%,0%,75
Vanilla Latte (Or Other Flavoured Latte),160,4,95,23,20,7,10%,30%,15%,75
Vanilla Latte (Or Other Flavoured Latte),200,0.3,140,37,35,12,20%,35%,0%,150
Vanilla Latte (Or Other Flavoured Latte),250,6,150,37,35,12,20%,35%,0%,150
Vanilla Latte (Or Other Flavoured Latte),210,5,120,31,26,9,10%,35%,15%,150
Vanilla Latte (Or Other Flavoured Latte),250,0.3,180,47,45,15,25%,50%,0%,150
Vanilla Latte (Or Other Flavoured Latte),320,9,200,46,44,15,25%,45%,0%,150
Vanilla Latte (Or Other Flavoured Latte),270,7,160,39,33,12,15%,45%,20%,150
Cappuccino,50,0.1,60,8,7,5,8%,15%,0%,75
Cappuccino,80,3,70,8,7,5,8%,15%,0%,75
Cappuccino,50,1.5,40,4,3,3,4%,10%,6%,75
Cappuccino,60,0.1,70,9,8,6,10%,20%,0%,75
Cappuccino,90,3.5,80,9,8,6,10%,20%,0%,75
Cappuccino,70,3,65,7,4,5,6%,20%,8%,75
Cappuccino,80,0.2,90,12,10,8,15%,25%,0%,150
Cappuccino,120,4,100,12,10,8,10%,25%,0%,150
Cappuccino,100,3.5,80,9,5,7,8%,25%,10%,150
Cappuccino,110,0.2,120,16,14,10,20%,30%,0%,150
Cappuccino,150,6,135,16,14,10,15%,30%,0%,150
Cappuccino,120,4.5,110,11,7,9,10%,35%,15%,150
Caramel Macchiato,100,1,70,17,15,6,10%,15%,0%,75
Caramel Macchiato,120,4,80,16,15,5,10%,15%,0%,75
Caramel Macchiato,100,3,60,14,11,4,6%,15%,8%,75
Caramel Macchiato,140,1,105,25,24,8,15%,25%,0%,75
Caramel Macchiato,180,5,115,25,23,8,15%,25%,0%,75
Caramel Macchiato,150,4.5,90,21,17,7,10%,25%,10%,75
Caramel Macchiato,190,1,130,35,32,11,20%,35%,0%,150
